,Borough,Borough Latitude,Borough Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
196,Downtown Toronto,43.6571618,-79.37893709999999,Bath & Body Works,43.654216369093064,-79.38099524844415,Cosmetics Shop
197,Downtown Toronto,43.6571618,-79.37893709999999,HomeSense,43.6531866401305,-79.3792368471621,Furniture / Home Store
198,Downtown Toronto,43.6571618,-79.37893709999999,Marshalls,43.659308,-79.3824621,Department Store
199,Downtown Toronto,43.6571618,-79.37893709999999,Citrus Restaurant & Lounge @ The Grand Hotel,43.65627304573888,-79.37422062269164,Lounge
200,Downtown Toronto,43.6571618,-79.37893709999999,Magic Tailor,43.65374158228865,-79.37974523881418,Clothing Store
201,Downtown Toronto,43.6571618,-79.37893709999999,Big Smoke Burger,43.65492030150413,-79.38080432697494,Burger Joint
202,Downtown Toronto,43.6571618,-79.37893709999999,Disney Store,43.654248,-79.381232,Toy / Game Store
203,Downtown Toronto,43.6571618,-79.37893709999999,KAKA,43.65745745164475,-79.38419169987876,Japanese Restaurant
204,Downtown Toronto,43.6571618,-79.37893709999999,Chatime 日出茶太,43.65554164147378,-79.38468427043244,Bubble Tea Shop
205,Downtown Toronto,43.6571618,-79.37893709999999,Starbucks,43.65446528594945,-79.37891894388453,Coffee Shop
206,Downtown Toronto,43.6571618,-79.37893709999999,Uncle Tetsu's Cheesecake (Uncle Tetsu's Japanese Cheesecake),43.65606287245643,-79.38369472446465,Dessert Shop
207,Downtown Toronto,43.6571618,-79.37893709999999,Panago,43.65825817735338,-79.38431282558368,Pizza Place
208,Downtown Toronto,43.6571618,-79.37893709999999,Imperial Pub,43.656254269765554,-79.37895528846455,Pub
209,Downtown Toronto,43.6571618,-79.37893709999999,Ethiopiques,43.65651274304155,-79.377077748846,Ethiopian Restaurant
210,Downtown Toronto,43.6571618,-79.37893709999999,Bubble Republic Tea House 奶茶黨部,43.656707495984975,-79.38416470657434,Bubble Tea Shop
211,Downtown Toronto,43.6571618,-79.37893709999999,Starbucks,43.654438,-79.380699,Coffee Shop
212,Downtown Toronto,43.6571618,-79.37893709999999,Victoria's Secret,43.65320588119187,-79.38052200729167,Lingerie Store
213,Downtown Toronto,43.6571618,-79.37893709999999,Fine Asian Bowl,43.6553866,-79.3803264,Vietnamese Restaurant
214,Downtown Toronto,43.6571618,-79.37893709999999,EB Games,43.65529344166874,-79.38032812642462,Video Game Store
215,Downtown Toronto,43.6571618,-79.37893709999999,Uncle Tetsu,43.65603138949496,-79.38350988129672,Café
216,Downtown Toronto,43.6571618,-79.37893709999999,Starbucks,43.659509,-79.382132,Coffee Shop
217,Downtown Toronto,43.6571618,-79.37893709999999,Tangerine Café,43.653936903308185,-79.37972202364307,Bank
218,Downtown Toronto,43.6571618,-79.37893709999999,Reds Midtown Tavern,43.659128249470015,-79.38226565563255,Wine Bar
219,Downtown Toronto,43.6571618,-79.37893709999999,lululemon athletica,43.653394,-79.380722,Sporting Goods Shop
220,Downtown Toronto,43.6571618,-79.37893709999999,Ali Basha Cafè,43.6566897,-79.3754589,Hookah Bar
221,Downtown Toronto,43.6571618,-79.37893709999999,Eaton Centre Fountain,43.65366112275937,-79.37978736281504,Plaza
222,Downtown Toronto,43.6571618,-79.37893709999999,Fran's,43.65426474929814,-79.37912005538317,Diner
223,Downtown Toronto,43.6571618,-79.37893709999999,Vans,43.654825509733335,-79.38024076741966,Shoe Store
224,Downtown Toronto,43.6571618,-79.37893709999999,Victoria's Secret PINK,43.65335746417248,-79.3806734813237,Lingerie Store
225,Downtown Toronto,43.6571618,-79.37893709999999,Ryerson Square,43.656988428886045,-79.37689617296417,Other Great Outdoors
226,Downtown Toronto,43.6571618,-79.37893709999999,Hard Candy Fitness,43.659556180497816,-79.38244024080487,Gym / Fitness Center
227,North York,43.709577,-79.44507259999997,Miyako Sushi Restaurant,43.709111,-79.44393,Japanese Restaurant
228,North York,43.709577,-79.44507259999997,Li Cheng Restaurant,43.70882792296303,-79.44336647383521,Asian Restaurant
229,North York,43.709577,-79.44507259999997,"Chalker's Pub, Billiards and Bistro",43.705746734874204,-79.44237750652644,Pub
230,North York,43.709577,-79.44507259999997,Domino's Pizza,43.707170406048526,-79.44265804811249,Pizza Place
231,Etobicoke,43.6509432,-79.55472440000001,Seaforth Golf Club,43.651183,-79.556107,Golf Course
232,Scarborough,43.7845351,-79.16049709999999,Chris Effects Painting,43.784343,-79.163742,Construction & Landscaping
233,Scarborough,43.7845351,-79.16049709999999,Royal Canadian Legion,43.78253332838298,-79.16308473261682,Bar
234,North York,43.72589970000001,-79.340923,Fitness Connection,43.72747286430573,-79.34170684305083,Gym
235,North York,43.72589970000001,-79.340923,Sorento Restaurant,43.72657509457231,-79.34198930569546,Italian Restaurant
236,North York,43.72589970000001,-79.340923,Oomomo,43.72642908913988,-79.34328336099873,Discount Store
237,North York,43.72589970000001,-79.340923,Swiss Chalet Rotisserie & Grill,43.7267367878352,-79.34140272120312,Restaurant
238,North York,43.72589970000001,-79.340923,Tilley Endurables,43.72703319748601,-79.34292634000684,Clothing Store
239,North York,43.72589970000001,-79.340923,Memories of Japan,43.72734746849249,-79.34136445237439,Japanese Restaurant
240,North York,43.72589970000001,-79.340923,Skiis and Biikes,43.726350918006425,-79.34297712786963,Bike Shop
